0.0_t	0.0_f	0.0_t	0.0_f	0.0_t	0.0_f	
29.21012	1871.5470	29.21012	1865.7570	29.21012	1868.1110	
29.28463	1869.6460	29.28463	1861.4770	29.28463	1870.7160	
29.35915	1867.8100	29.35915	1863.3190	29.35915	1867.3900	
29.43366	1872.6620	29.43366	1865.0500	29.43366	1869.1240	
29.50818	1874.6530	29.50818	1857.1170	29.50818	1871.4370	
29.58269	1862.8900	29.58269	1866.5130	29.58269	1872.1820	
29.65721	1871.8300	29.65721	1867.1570	29.65721	1864.6990	
29.73172	1873.9460	29.73172	1856.6130	29.73172	1866.7280	
29.80624	1867.9620	29.80624	1865.9890	29.80624	1865.7590	
29.88076	1861.6880	29.88076	1865.1550	29.88076	1861.4500	
29.95527	1857.5580	29.95527	1860.4130	29.95527	1861.8320	
30.02979	1865.4730	30.02979	1869.5980	30.02979	1866.3290	
30.10430	1871.7560	30.10430	1873.2460	30.10430	1867.7740	
